127.0.0.1 - - [11/Feb/2018:04:09:07 -0500] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [11/Feb/2018:04:09:08 -0500] "GET /CourseEvaluation/ HTTP/1.1" 200 1011
0:0:0:0:0:0:0:1 - - [11/Feb/2018:04:09:08 -0500] "GET /CourseEvaluation/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [11/Feb/2018:04:09:08 -0500] "GET /CourseEvaluation/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [11/Feb/2018:04:09:08 -0500] "GET /CourseEvaluation/css/custom.css HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [11/Feb/2018:04:09:08 -0500] "GET /CourseEvaluation/js/jquery.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [11/Feb/2018:04:09:08 -0500] "GET /CourseEvaluation/js/popper.min.js HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [11/Feb/2018:04:10:31 -0500] "GET /CourseEvaluation HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Feb/2018:04:10:31 -0500] "GET /CourseEvaluation/ HTTP/1.1" 200 1011
0:0:0:0:0:0:0:1 - - [11/Feb/2018:04:10:31 -0500] "GET /CourseEvaluation/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [11/Feb/2018:04:10:31 -0500] "GET /CourseEvaluation/css/custom.css HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [11/Feb/2018:04:10:31 -0500] "GET /CourseEvaluation/js/jquery.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [11/Feb/2018:04:10:31 -0500] "GET /CourseEvaluation/js/popper.min.js HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [11/Feb/2018:04:10:31 -0500] "GET /CourseEvaluation/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [11/Feb/2018:04:10:31 -0500] "GET /CourseEvaluation/js/popper.min.js HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [11/Feb/2018:04:10:31 -0500] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [11/Feb/2018:04:11:55 -0500] "GET /CourseEvaluation/js/bootstrap.min.js.map HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [11/Feb/2018:04:11:55 -0500] "GET /CourseEvaluation/css/bootstrap.min.css.map HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [11/Feb/2018:04:18:57 -0500] "GET /CourseEvaluation/ HTTP/1.1" 200 1669
0:0:0:0:0:0:0:1 - - [11/Feb/2018:04:18:57 -0500] "GET /CourseEvaluation/js/popper.min.js HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [11/Feb/2018:04:18:57 -0500] "GET /CourseEvaluation/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2018:04:18:57 -0500] "GET /CourseEvaluation/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2018:04:18:57 -0500] "GET /CourseEvaluation/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2018:04:18:57 -0500] "GET /CourseEvaluation/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2018:04:18:57 -0500] "GET /CourseEvaluation/js/bootstrap.min.js.map HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [11/Feb/2018:04:18:57 -0500] "GET /CourseEvaluation/css/bootstrap.min.css.map HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [11/Feb/2018:04:22:13 -0500] "GET /CourseEvaluation/ HTTP/1.1" 200 1920
0:0:0:0:0:0:0:1 - - [11/Feb/2018:04:22:13 -0500] "GET /CourseEvaluation/js/popper.min.js HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [11/Feb/2018:04:22:13 -0500] "GET /CourseEvaluation/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2018:04:22:13 -0500] "GET /CourseEvaluation/js/popper.min.js HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [11/Feb/2018:04:22:38 -0500] "GET /CourseEvaluation/ HTTP/1.1" 200 1921
0:0:0:0:0:0:0:1 - - [11/Feb/2018:04:22:38 -0500] "GET /CourseEvaluation/js/popper.min.js HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [11/Feb/2018:04:22:38 -0500] "GET /CourseEvaluation/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2018:04:22:38 -0500] "GET /CourseEvaluation/js/popper.min.js HTTP/1.1" 404 1115
